	color	D0	D1	D2
HSPC_228	#eea113	0.0043437376281219246	0.021245845144664745	0.01155735113966811
HSPC_231	#7c5246	0.009479582070506028	0.019686814105225377	-0.008528452256962724
HSPC_596	#7c5246	0.020828854371640042	-0.031262218866034745	-0.002838974532953874
Prog_484	#d84f40	0.005689039037018868	0.03842966690405694	0.006549438964268857
Prog_051	#286ee1	-0.056153760918627775	-0.015540397787008345	-0.026224368451387293
Prog_719	#286ee1	-0.053428598047264166	-0.013589894588881926	-0.021422636010193303
Prog_074	#286ee1	-0.024929739823763588	0.003446025423057016	0.02694745606422297
HSPC_545	#40bdbd	0.01974766782082276	-0.031555110913701036	0.0068674930243654165
Prog_255	#d84f40	0.004349593514601695	0.05187067182669648	0.010207986372394562
Prog_470	#10b460	0.008179136978800607	0.03360578714067435	-0.004590416642695511
Prog_368	#286ee1	-0.049035109744110884	-0.010879099403315846	-0.012573607765697131
Prog_787	#10b460	0.0017298255267379785	0.022738506783101558	0.013461803620276335
HSPC_575	#7c5246	0.018591742866321204	-0.012447891508690537	-0.023312390575027632
HSPC_557	#eea113	0.01729618452946612	-0.0019132386989857662	-0.027065795760731207
Prog_113	#d84f40	-0.0016430302891037142	0.028654072069255576	0.019080354524284197
HSPC_152	#eea113	0.016816758499077128	0.005837257442474254	-0.03655451776837887
HSPC_105	#7c5246	0.020371169782853457	-0.01874033107141898	-0.020108134473106366
Prog_321	#286ee1	-0.03929530945306002	-0.003797760541097855	0.0008295718238144709
HSPC_742	#eea113	0.022250673669697588	-0.05145335092505851	0.021956013528255453
HSPC_547	#40bdbd	0.022035758125141403	-0.04624399363659521	0.015692567377381735
Prog_266	#d84f40	0.01729846096369731	0.007520798648526889	-0.039920963249971325
HSPC_177	#7c5246	0.016891331026786326	-0.002424771628780272	-0.024102077195051093
Prog_693	#d84f40	0.015880203620839563	0.003502744723205441	-0.020894843860402676
Prog_027	#d84f40	-0.002621421391211887	0.007194454357868036	0.057274420429635944
HSPC_522	#7c5246	0.01383660006127944	0.005989976761269616	-0.010622072638615315
Prog_834	#d84f40	0.010567910679598565	0.01677543237083987	-0.004954663099724454
Prog_043	#286ee1	-0.028602748250465333	0.0013317277395926957	0.03087524685776881
Prog_782	#286ee1	0.021815209172278437	-0.04821519360651379	0.022049405318223254
Prog_146	#10b460	-0.019259752273397848	0.02464075897576888	-0.006127427977874925
Prog_325	#10b460	0.004193232510752208	0.035767584057923775	0.0062116151738640345
HSPC_335	#eea113	0.01657740320080036	-0.013011350015017615	-0.005344080016618605
Prog_545	#286ee1	-0.053653501100956645	-0.013772040553241756	-0.020787240805286746
HSPC_267	#eea113	0.016957903598557818	0.010907804579194557	-0.04393823073106107
Prog_602	#d84f40	0.01463761495755342	0.015691430188647406	-0.029885388234205078
HSPC_629	#7c5246	0.016673247197981068	0.007036095876437399	-0.030629675613073157
Prog_839	#286ee1	-0.026101598210430663	0.003420253374826393	0.033350686538111386
HSPC_448	#eea113	0.018714612262884726	-0.004687564907897834	-0.03572133974650844
